NYU-UCS-0241-03-Ribozero_S3_L002	NYU-UCS-0241-03-Trio_S3_L002	NYU-UCS-0303-03-Ribozero_S1_L002	NYU-UCS-0303-03-Trio_S1_L002	UCS-0019-MainEvent-Ribozero_S2_L002	UCS-0019-MainEvent-Trio_S2_L002	UCS-0116-MainEvent-Ribozero_S7_L002	UCS-0116-MainEvent-Trio_S7_L002	UCS-0209-MainEvent-Ribozero_S6_L002	UCS-0209-MainEvent-Trio_S6_L002	UCS-0232-02-Ribozero_S8_L002	UCS-0232-02-Trio_S8_L002	UCS-0232-05-Ribozero_S5_L002	UCS-0232-05-Trio_S5_L002	UCS-0289-04-Ribozero_S4_L002	UCS-0289-04-Trio_S4_L002
Photorhabdus akhurstii	5	225	4	0	0	0	0	0	2	0	0	0	0	0	2	0
Photorhabdus laumondii	2	52	1	1	0	0	3	1	0	0	0	0	0	0	0	0
Moellerella wisconsensis	17	42	0	1	0	0	0	0	0	0	0	1	0	1	1	1
Pectobacterium carotovorum	36	651	7	124	0	0	6	0	0	0	0	1	5	39	1	0
Pectobacterium parmentieri	16	1095	2	2	0	0	5	1	0	1	4	0	1	2	3	0
Pectobacterium parvum	14	298	22	12	3	0	7	1	0	0	1	0	0	1	3	1
Pectobacterium odoriferum	6	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pectobacterium atrosepticum	2	57	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pectobacterium versatile	2	1006	24	11	0	1	3	0	0	0	5	0	0	2	0	0
Pectobacterium polaris	1	393	0	1	0	0	0	1	1	0	0	0	1	0	1	0
Pectobacterium colocasium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brenneria rubrifaciens	33	304	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Brenneria izadpanahii	26	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brenneria goodwinii	3	62	9	0	0	0	1	0	0	1	1	0	0	0	0	1
Dickeya zeae	7	251	0	5	0	1	2	0	0	0	0	0	0	0	1	0
Dickeya fangzhongdai	17	443	3	7	0	0	5	0	4	0	4	0	0	0	4	0
Dickeya chrysanthemi	2	26	6	6	0	0	1	0	0	1	0	0	0	1	0	1
Dickeya solani	2	181	3	9	0	0	4	5	0	0	0	3	0	1	0	0
Dickeya dadantii	1	921	1	3	0	0	0	0	0	0	0	0	6	2	0	0
Dickeya dianthicola	1	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Lonsdalea britannica	7	0	13	1	2	0	0	0	0	0	2	0	11	0	0	0
Lonsdalea populi	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Musicola paradisiaca	3	106	23	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Sodalis pierantonius	64	2914	43	188	3	0	15	2	2	1	4	0	0	43	1	3
Sodalis glossinidius	25	97	0	3	0	0	0	1	0	0	0	0	0	0	0	2
Sodalis endosymbiont of Henestaris halophilus	16	608	9	10	0	0	3	0	0	0	1	2	0	4	0	0
Sodalis sp. dw_23	5	466	85	1	0	0	3	0	0	0	0	0	0	0	0	0
Sodalis praecaptivus	1	884	7	0	0	0	1	0	0	0	0	0	0	0	0	0
Edwardsiella ictaluri	76	5535	10	53	0	0	1	13	0	0	0	0	0	6	2	1
Edwardsiella tarda	3	725	3	2	0	0	2	0	93	52	0	0	0	0	0	0
Edwardsiella piscicida	1	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella anguillarum	19	240	0	169	0	0	0	0	0	0	0	0	0	65	0	0
Hafnia alvei	2	14	4	11	0	0	2	0	0	0	2	0	0	0	0	0
Obesumbacterium proteus	1	496	0	5	0	0	1	1	0	0	0	0	0	2	0	0
Leminorella richardii	6	64	0	2	0	0	1	0	4	1	0	1	0	0	0	2
Pragia fontium	5	134	0	3	0	0	3	0	0	0	0	0	0	0	2	0
Stenotrophomonas maltophilia	46834	7422	69567	13022	34091	153	303202	31275	81471	45229	71000	41937	248562	1177	76601	237
Stenotrophomonas sp. SAU14A_NAIMI4_5	2	0	0	0	0	0	0	1	1	9	1	1	1	0	3	0
Stenotrophomonas sp. ESTM1D_MKCIP4_1	1	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0
Stenotrophomonas sp. NY11291	1	0	0	66	1	0	4	0	0	0	0	0	0	9	1	0
Stenotrophomonas sp. WZN-1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0
Luteimonas sp. MC1750	34	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0
Luteimonas sp. MC1825	19	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Luteimonas sp. JM171	3	31	12	6	0	0	0	0	0	0	0	0	0	3	2	0
Luteimonas sp. MC1572	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luteimonas granuli	18	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Luteimonas yindakuii	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Luteimonas fraxinea	2	0	1	31	0	0	0	1	0	0	0	0	0	9	2	0
Xanthomonas citri	22	53	15	694	0	2	13	1	1	0	7	1	5	122	19	0
Xanthomonas campestris	4	4	6	24	0	0	8	1	0	0	8	0	2	6	3	0
Xanthomonas translucens	1	11	16	89	0	0	1	0	1	0	0	0	0	25	8	0
Xanthomonas fragariae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas arboricola	1	0	0	0	0	0	0	0	2	4	0	0	0	0	0	1
Xanthomonas phaseoli	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Xanthomonas hortorum	1	1	0	1	0	0	0	0	1	0	0	1	0	1	2	0
Xanthomonas vasicola	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysobacter sp. CECT 30171	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysobacter lycopersici	2	0	2	0	0	0	2	1	10	1	0	0	0	0	5	0
Lysobacter enzymogenes	5	2	0	0	16	1	3	0	0	0	1	0	0	0	0	0
Lysobacter maris	1	0	0	2	1	0	0	2	0	0	0	0	0	1	5	0
Lysobacter alkalisoli	1	1	2	0	1	0	0	0	0	0	2	0	0	0	2	0
Lysobacter oculi	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
Xylella fastidiosa	20	1100	18	116	0	0	0	14	0	1	0	1	0	35	2	0
Pseudoxanthomonas suwonensis	8	0	5	1	0	0	7	0	0	0	0	0	2	0	10	0
Thermomonas carbonis	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Pseudolysobacter antarcticus	1	6	1	41	5	1	0	0	4	0	4	7	1	10	3	0
Dyella telluris	4	0	0	29	1	0	0	1	0	0	0	0	0	0	0	0
Dyella terrae	2	0	0	0	0	0	4	0	13	0	1	0	0	0	0	0
Dyella japonica	1	0	146	0	1	0	0	0	0	0	2	0	0	0	0	0
Ahniella affigens	2	88	5	53	0	0	0	0	1	0	1	0	2	14	3	0
Frateuria aurantia	1	0	0	0	0	0	2	1	7	0	0	0	0	0	0	0
Luteibacter sp. EIF3	1	4	0	4	0	0	0	0	0	0	0	1	0	0	1	0
Dokdonella koreensis	1	5	105	82	1	0	0	0	0	0	1	0	0	20	1	0
Aerosticca soli	1	44	14	0	0	0	0	0	1	0	0	0	0	0	6	0
Teredinibacter turnerae	3991	1	127	0	0	0	0	0	0	0	0	1	0	3	0	0
Teredinibacter purpureus	1023	3	1	22	0	0	0	0	0	1	0	0	0	6	0	0
Teredinibacter haidensis	18	42	9	62	0	0	0	1	4	8	0	0	0	24	0	0
Cellvibrio sp. PSBB006	917	15	24	23	0	0	2	0	0	0	0	0	0	6	0	0
Cellvibrio sp. PSBB023	995	0	9	3	0	0	0	0	0	0	0	0	0	2	0	0
Cellvibrio sp. KY-GH-1	4	1	44	10	1	0	0	2	3	2	0	1	0	1	0	0
Cellvibrio japonicus	10	0	89	63	0	0	0	0	0	0	0	0	3	24	0	0
Saccharophagus degradans	502	0	7	9	0	0	0	0	1	0	0	0	0	2	2	0
Agarilytica rhodophyticola	341	19	14	8	0	0	2	0	5	5	0	1	0	2	0	0
Marinagarivorans sp. GE09	19	40	12	93	0	0	0	0	0	0	0	1	3	12	0	0
Simiduia agarivorans	5	1	12	27	0	0	0	0	1	0	0	4	0	6	0	0
Microbulbifer elongatus	604	757	28	23	0	0	0	0	1	0	0	0	1	2	0	0
Microbulbifer thermotolerans	52	29	3	0	0	0	1	0	0	0	0	0	0	0	0	0
Microbulbifer agarilyticus	127	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Microbulbifer celer	128	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Microbulbifer sp. ALW1	142	0	21	0	0	0	0	0	0	0	0	0	1	0	0	0
Microbulbifer hydrolyticus	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Congregibacter litoralis	1880	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0
Aequoribacter fuscus	15	54	9	15	0	0	2	0	0	0	0	0	0	2	0	0
Kineobactrum salinum	1	0	57	16	0	0	0	0	0	0	2	0	1	5	0	0
Oceanicoccus sagamiensis	194	288	34	48	0	0	2	0	2	0	0	0	0	16	1	0
Spongiibacter taiwanensis	5	202	28	26	0	0	1	0	2	0	3	0	0	9	0	0
Spongiibacter sp. IMCC21906	16	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0
Zhongshania aliphaticivorans	3	1	86	0	0	0	0	0	1	1	0	0	0	0	0	0
Halomonas sp. JS92-SW72	2262	289	2751	295	1143	24	11691	180	3123	11918	2498	1462	7493	80	2475	2
Halomonas sp. Y2R2	4	1	8	7	0	0	0	1	4	7	0	0	1	1	0	0
Halomonas sp. KO116	3	20	1	5	0	0	0	0	0	0	0	0	0	2	4	0
Halomonas sp. HG01	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas sp. MCCC 1A13316	2	48	0	1	0	0	1	0	0	0	0	0	0	1	0	0
Halomonas sp. FeN2	1	102	1	1	0	0	1	3	0	0	0	0	0	0	0	0
Halomonas sp. A40-4	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
Halomonas meridiana	16	110	7	13	0	0	0	0	3	0	0	0	0	3	1	0
Halomonas subglaciescola	6	6	57	17	1	0	0	0	0	0	0	0	0	2	0	0
Halomonas profundi	7	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Halotalea alkalilenta	133	109	2	1	0	0	0	0	0	0	0	0	0	2	5	0
Candidatus Portiera aleyrodidarum	28	1213	90	507	1	0	14	12	15	20	2	0	17	191	6	1
Candidatus Carsonella ruddii	21	1981	41	767	0	2	2	7	0	0	0	7	0	106	2	0
Zymobacter palmae	16	299	2	0	0	0	0	1	0	0	0	0	0	4	0	0
Kushneria phosphatilytica	3	33	12	116	0	0	0	5	0	0	0	0	0	24	0	0
Chromohalobacter salexigens	2	0	0	2	0	0	0	4	1	0	0	0	0	0	0	0
Cobetia sp. ICG0124	161	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bermanella marisrubri	1335	35	23	14	0	0	0	1	0	0	0	0	0	8	2	0
Amphritea japonica	251	3	21	8	0	0	1	1	0	1	0	0	0	1	0	0
Marinobacterium sediminicola	216	0	3	11	0	0	0	0	0	0	1	0	0	4	2	0
Marinobacterium aestuarii	38	6	0	64	0	0	1	0	0	0	0	0	0	12	5	0
Marinobacterium sp. LSUCC0821	4	102	4	24	0	0	0	1	0	0	0	0	0	6	1	0
Marinobacterium georgiense	1	0	6	0	0	0	3	0	0	1	0	0	0	0	0	0
Marinomonas algicola	13	479	36	77	3	0	22	2	5	0	6	0	0	12	13	0
Marinomonas profundi	1	0	10	0	0	0	0	0	8	4	0	0	0	0	1	0
Neptunomonas japonica	2	0	35	18	0	0	8	0	1	0	0	0	0	4	0	0
Neptunomonas concharum	2	57	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Neptunomonas phycophila	2	5	4	2	0	0	1	0	0	0	0	1	1	4	0	0
Thalassolituus oleivorans	7	65	101	56	0	0	0	0	1	0	1	0	0	2	0	0
Bacterioplanes sanyensis	2	185	1	1	0	0	0	1	1	1	0	0	0	0	0	0
Nitrincola iocasae	1	18	2	15	1	0	2	0	0	0	0	0	0	0	0	0
Venatorbacter cucullus	1	12	5	14	0	0	0	0	0	0	0	0	1	9	1	0
Ketobacter alkanivorans	237	5	32	62	0	0	0	1	0	0	0	0	0	4	0	0
Alcanivorax sp. N3-2A	31	9674	217	456	2	37	51	352	2571	34481	911	50158	38	1390	15	24
Alcanivorax pacificus	2	42	68	10	0	1	0	1	0	0	0	0	0	0	1	0
Alcanivorax borkumensis	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharospirillum mangrovi	109	44	5	58	0	0	2	0	1	0	0	0	0	23	0	0
Gynuella sunshinyii	7	14	50	26	0	0	0	1	1	1	0	0	0	3	0	0
Reinekea forsetii	4	10	12	64	0	0	2	0	0	0	0	0	0	12	0	0
Hahella sp. KA22	8	255	0	11	0	0	4	0	0	0	0	0	0	0	0	0
Endozoicomonas montiporae	6	32	87	35	0	0	3	1	0	3	0	1	0	12	0	0
Endozoicomonas sp. SCSIO W0465	1	37	5	28	0	0	1	0	4	2	0	0	0	4	0	0
Litoricola lipolytica	2	20	15	17	0	0	1	1	0	0	0	0	0	4	0	0
Acinetobacter baumannii	3982	4002	9089	4281	2815	15	30685	302	6689	9	8221	35	24937	1251	5824	6
Acinetobacter pittii	20	166	42	68	6	1	34	16	9	0	13	0	15	13	30	0
Acinetobacter calcoaceticus	4	15	18	3496	0	3	3	11	7	1	8	1	1	468	0	4
Acinetobacter seifertii	1	23	0	33	0	0	0	0	0	0	1	1	0	4	0	0
Acinetobacter junii	13	11	13	29	6	0	37	4	25	0	8	1	6	7	10	0
Acinetobacter johnsonii	9	4	37	11	6	8	13	45	10	0	18	1	6	13	52	0
Acinetobacter indicus	8	0	7	69	0	0	3	4	2	0	7	0	1	21	48	0
Acinetobacter venetianus	7	357	16	57	0	0	1	1	0	0	3	0	0	9	6	0
Acinetobacter sp. 10FS3-1	2	9	3	8	0	0	0	8	0	0	2	0	2	1	4	0
Acinetobacter sp. LoGeW2-3	2	23	13	8	0	0	0	1	0	0	0	0	0	2	0	0
Acinetobacter sp. MYb10	2	154	21	6	0	0	1	0	2	0	0	0	0	4	0	0
Acinetobacter septicus	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter haemolyticus	2	0	814	0	0	0	67	4	0	1	0	1	2	0	3	0
Acinetobacter larvae	2	0	12	3	0	0	0	7	0	0	1	1	0	0	0	0
Acinetobacter towneri	1	51	36	29	0	1	7	0	108	71	13	0	1	7	4	0
Acinetobacter lanii	1	2	5	9	0	0	0	0	0	0	0	0	0	3	6	0
Acinetobacter wuhouensis	1	1	2	2	0	0	0	0	0	1	2	2	0	1	0	1
Acinetobacter lwoffii	1	1	3	1	3	0	0	6	9	4	62	1	6	0	7	0
Acinetobacter radioresistens	1	0	7	1	0	0	3	1	1	0	1	0	4	2	0	0
Acinetobacter ursingii	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0
Acinetobacter guillouiae	1	40	3	3	0	1	0	0	0	0	0	0	0	1	0	0
Acinetobacter bereziniae	1	0	0	30	0	0	0	0	0	0	0	0	0	9	0	0
Psychrobacter sp. AntiMn-1	206	0	13	59	99	3	12	40	0	3	0	0	8	0	10	0
Psychrobacter sp. WY6	28	16	15	20	31	0	5	0	0	0	0	0	4	0	4	0
Psychrobacter sp. KH172YL61	20	17	18	0	0	0	8	0	0	0	0	0	10	0	0	0
Psychrobacter sp. DAB_AL43B	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychrobacter sp. P2G3	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychrobacter sp. G	125	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
Psychrobacter urativorans	31	0	0	0	13	0	0	0	0	0	2	0	0	0	0	0
Psychrobacter arenosus	5	0	28	4	1	0	3	0	0	0	1	0	0	0	1	0
Psychrobacter cryohalolentis	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychrobacter arcticus	9	38	0	140	6	0	9	0	0	0	7	14	0	0	0	1
Psychrobacter sanguinis	5	0	0	0	0	3	0	0	9	0	4	0	0	0	8	0
Moraxella osloensis	66	114	82	160	40	57	213	273	42	8	71	23	21	40	110	0
Moraxella nonliquefaciens	3	0	0	0	0	0	5	0	5	0	0	0	0	0	2	1
Moraxella sp. ZY201115	1	1	3	1	0	0	1	0	2	0	0	0	0	0	0	0
Aquirhabdus parva	3	0	6	4	0	0	1	1	0	0	1	1	0	0	84	0
Pseudomonas sp. C27(2019)	507	2	31	1874	1	1	30	2	0	0	1	0	2	23	2	0
Pseudomonas sp. CIP-10	470	8376	6206	6952	438	665	5166	11343	25650	142722	3489	65972	1885	3948	654	92
Pseudomonas sp. S150	25	79	11	1816	2	9	15	4	1	0	4	0	0	473	3	1
Pseudomonas sp. ADPe	7	1	7	69	0	0	0	3	0	0	0	0	0	11	0	0
Pseudomonas sp. SWI6	5	5	0	2994	0	0	9	0	0	1	0	0	0	679	2	0
Pseudomonas sp. CFA	2	0	0	45	0	0	1	0	0	0	0	0	2	2	0	0
Pseudomonas sp. SCA2728.1_7	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Pseudomonas sp. UW4	2	9	4	22	0	0	1	0	0	0	0	0	0	8	0	0
Pseudomonas sp. MYb193	2	5	2	42	0	0	3	0	1	0	1	0	0	14	0	0
Pseudomonas sp. DNDY-54	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. ABC1	2	0	10	24	0	0	0	0	0	0	0	0	5	9	0	0
Pseudomonas sp. SXM-1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Pseudomonas sp. Seg1	1	0	0	28	0	0	0	0	1	0	0	0	0	5	0	0
Pseudomonas sp. St29	1	0	0	23	0	0	0	0	0	0	0	0	0	6	0	0
Pseudomonas sp. AO-1	1	0	0	0	1	0	7	2	0	0	0	0	1	0	0	0
Pseudomonas sp. SK3(2021)	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pseudomonas sp. SCB32	1	0	10	15	0	0	0	0	0	0	0	0	3	3	2	0
Pseudomonas sp. CCOS 191	1	21	24	30	3	0	16	0	1	0	2	0	2	12	1	0
Pseudomonas sp. Tri1	1	0	1	22	0	0	4	0	3	0	1	0	2	1	3	0
Pseudomonas sp. PDNC002	1	0	10	7	1	0	1	0	2	0	0	0	3	2	0	0
Pseudomonas sp. NY5710	1	1	0	53	0	0	0	0	0	0	0	1	0	8	0	0
Pseudomonas sp. BIGb0427	1	33	4	52	0	0	0	0	0	0	0	0	0	22	2	0
Pseudomonas sp. THAF7b	1	0	1	0	0	0	7	0	3	0	5	0	9	0	1	0
Pseudomonas sp. SWI7	1	23	0	797	0	0	0	0	1	0	0	1	0	168	0	0
Pseudomonas sp. CC6-YY-74	1	56	12	297	0	0	7	3	1	0	0	0	6	66	2	0
Pseudomonas sp. Ost2	1	0	3	2	0	0	0	2	0	0	0	0	1	0	0	0
Pseudomonas sp. S09G 359	1	0	1	10	0	0	1	2	0	0	1	0	0	2	0	0
Pseudomonas sp. MTM4	1	0	2	217	0	0	0	2	0	0	0	0	1	55	1	0
Pseudomonas sp. ADAK13	1	1	1	4	0	0	0	0	0	0	0	0	1	1	0	0
Pseudomonas sp. OIL-1	1	0	0	23	0	0	4	0	20	3	0	0	0	5	0	0
Pseudomonas sp. M1	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. DR48	1	12	5	126	0	0	6	1	0	1	0	0	0	18	0	0
Pseudomonas libanensis	214	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
Pseudomonas fluorescens	35	353	59	4013	3	8	52	23	12	0	12	1	24	540	13	1
Pseudomonas mediterranea	9	42	7	225	1	0	1	1	1	0	3	0	2	40	1	1
Pseudomonas veronii	8	45	13	333	1	0	0	3	0	0	4	0	6	66	2	0
Pseudomonas mucidolens	1	8	4	210	1	1	1	3	0	0	0	0	0	25	0	0
Pseudomonas synxantha	1	350	83	544	0	16	6	38	0	1	0	0	2	50	2	0
Pseudomonas brenneri	1	1	0	6	0	0	0	0	0	0	0	0	0	1	1	0
Pseudomonas aeruginosa	1740	2889	47813	587750	576	219	6668	628	602	7	1247	19	38552	135084	1073	130
Pseudomonas mendocina	4	1	3	21	1	1	14	0	1	20	0	0	5	10	2	0
Pseudomonas resinovorans	1	0	4	1	0	0	0	0	0	0	0	0	12	0	0	0
Pseudomonas multiresinivorans	1	0	8	3	0	0	0	0	0	0	0	0	1	0	9	0
Pseudomonas furukawaii	1	0	3	38	0	0	1	0	1	0	1	0	7	6	0	0
Pseudomonas stutzeri	95	185	199	698	33	0	302	5	85	3	90	1	162	221	72	1
Pseudomonas putida	115	309	1894	3529	10	10	140	51	19	0	24	1	35	717	51	0
Pseudomonas oryzihabitans	1	0	2	40	2	3	9	0	0	0	7	0	3	2	62	0
Pseudomonas plecoglossicida	1	1	64	92	0	0	2	1	0	0	0	0	0	14	0	0
Pseudomonas sp. SGAir0191	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas chlororaphis	28	131	45	1716	3	0	32	7	7	3	3	1	17	665	13	0
Pseudomonas lundensis	3	0	6	108	2	0	0	0	0	0	0	0	1	35	0	0
Pseudomonas taetrolens	9	8	2	212	0	0	0	1	2	0	0	0	1	75	1	0
Pseudomonas amygdali	6	137	3	51	0	0	3	5	0	0	0	0	0	6	0	0
Pseudomonas savastanoi	2	24	1	707	0	18	0	2	0	0	0	0	0	250	0	0
Pseudomonas oryziphila	7	114	17	817	2	0	9	0	3	0	2	0	7	358	4	0
Pseudomonas lactis	7	3	4	190	0	0	12	21	2	0	3	0	0	39	2	0
Pseudomonas silesiensis	4	688	25	4	1	1	3	1	2	0	0	0	0	1	1	0
Candidatus Pseudomonas adelgestsugas	3	17	16	437	1	0	5	2	0	0	0	0	2	107	0	0
Pseudomonas juntendi	5	0	22	195	0	0	5	5	0	0	2	0	0	35	6	0
Pseudomonas brassicacearum	4	105	1	99	1	0	2	4	0	0	0	1	0	26	0	1
Pseudomonas vanderleydeniana	2	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas cremoricolorata	2	0	2	37	2	0	4	0	1	0	2	0	2	13	0	0
Pseudomonas oryzae	2	0	11	92	0	0	1	3	0	0	0	0	5	17	1	0
Pseudomonas saudiphocaensis	2	0	1	2	0	0	0	0	2	0	0	0	4	0	2	0
Pseudomonas umsongensis	2	22	7	715	0	0	8	7	1	0	1	0	2	91	7	0
Pseudomonas rhizosphaerae	2	0	12	2	0	0	0	0	0	0	1	0	0	0	0	0
Pseudomonas glycinae	2	34	10	192	0	0	0	1	0	0	0	0	3	40	0	0
Pseudomonas lurida	2	0	0	5	0	0	0	1	0	0	0	0	2	0	0	0
Pseudomonas wenzhouensis	1	1	2	160	0	0	0	1	0	0	0	0	3	27	0	0
Pseudomonas monsensis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas yamanorum	1	1	1	1	0	0	0	1	4	0	1	0	2	0	2	0
Pseudomonas extremaustralis	1	0	4	0	1	0	10	0	0	0	5	0	2	0	8	0
Pseudomonas simiae	1	0	3	21	0	0	1	0	0	0	0	0	0	0	2	0
Pseudomonas cerasi	1	0	5	51	0	0	0	0	0	0	0	0	3	14	4	0
Pseudomonas entomophila	1	0	4	45	0	1	3	4	5	0	2	0	2	17	0	0
Pseudomonas psychrotolerans	1	0	4	32	2	2	0	1	4	0	2	0	6	9	8	0
Pseudomonas phragmitis	1	0	0	463	0	0	0	1	0	0	0	0	0	27	3	0
Permianibacter aggregans	17	271	19	112	0	0	4	1	3	0	0	0	4	19	1	0
Halopseudomonas aestusnigri	7	0	5	0	0	0	14	0	0	0	6	0	2	0	2	0
Halopseudomonas sabulinigri	1	0	4	9	0	0	0	0	0	0	0	1	2	2	0	0
Halopseudomonas salegens	1	1	0	5	0	0	0	4	0	1	0	0	0	3	0	0
Marinobacter salsuginis	13	1360	69	203	0	0	1	0	5	1	3	0	1	34	5	0
Marinobacter sp. Arc7-DN-1	3	27	78	10	0	0	1	0	0	0	0	0	0	3	1	0
Marinobacter sp. CA1	1	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinobacter similis	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halorhodospira halochloris	960	7	26	72	0	0	0	1	0	0	0	0	0	17	0	0
Halorhodospira halophila	10	12	26	35	0	0	5	0	1	0	0	0	0	0	0	0
Acidihalobacter ferrooxydans	549	2	174	6	0	0	1	0	1	0	2	1	2	10	0	0
Aquisalimonas sp. 2447	42	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0
Thioalkalivibrio paradoxus	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thioalkalivibrio sulfidiphilus	1	11	15	66	0	0	0	0	0	0	0	0	0	12	2	0
Rheinheimera sp. F8	435	117	2	0	0	0	6	0	0	0	0	0	0	7	0	0
Rheinheimera sp. D18	1	6	5	286	0	0	0	0	0	0	0	0	1	78	0	0
Rheinheimera mangrovi	2	3	19	0	0	0	4	1	11	1	2	0	0	0	11	0
Caldichromatium japonicum	12	67	33	114	0	0	4	6	0	0	1	0	1	26	7	0
Thermochromatium tepidum	4	0	26	23	0	0	1	0	0	0	1	0	3	7	7	0
Thiocapsa bogorovii	1	127	0	17	0	0	1	1	0	0	0	0	0	1	0	0
Thiocystis violascens	1	16	0	5	0	0	1	0	0	0	0	0	0	0	0	0
Candidatus Thiodictyon syntrophicum	1	5	8	5	0	0	2	2	1	0	0	2	1	0	0	0
Allochromatium vinosum	1	0	6	11	0	0	1	0	0	0	0	0	0	1	0	0
Marichromatium purpuratum	1	125	1	3	0	0	1	0	1	0	1	0	1	4	0	0
Thioflavicoccus mobilis	1	4	6	6	1	0	9	0	7	0	1	0	2	2	8	0
Candidatus Nitrosoglobus terrae	1	3	2	499	0	0	0	1	0	0	1	0	0	167	0	0
Candidatus Nitrosacidococcus tergens	1	6	15	13	1	0	0	1	1	0	0	0	0	3	0	0
Sulfurivermis fontis	503	408	28	15	1	0	1	1	4	1	1	0	0	3	20	0
Halothiobacillus neapolitanus	71	160	28	0	0	0	6	0	0	0	0	0	0	0	0	0
Granulosicoccus antarcticus	6	3	21	39	1	0	0	0	0	0	0	0	3	10	0	0
Sulfuriflexus mobilis	1	27	23	2	0	0	1	1	0	0	0	0	0	0	2	0
Pasteurella multocida	4457	3411	5060	1463	2033	106	42111	844	5860	335	4174	234	17375	198	4734	9
Pasteurella sp. XG20	36	2515	31	90	0	0	0	145	0	0	0	0	0	0	0	0
[Haemophilus] ducreyi	43	398	16	25	56	3	28	3	17	0	65	0	9381	5	214	0
Haemophilus parainfluenzae	5	23	3	7	1	0	97	331	0	0	5	3	3	2	9	1
Haemophilus influenzae	1	549	8	67	3	1	0	10	0	0	0	1	1	13	1	0
Haemophilus parahaemolyticus	1	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus pittmaniae	1	0	0	1	0	0	0	6	1	0	0	0	0	0	0	0
Actinobacillus pleuropneumoniae	1272	215	315	1	0	0	514	455	99	0	209	0	7	0	13	0
Actinobacillus sp. GY-402	2	111	4	130	0	0	0	2	0	0	0	0	0	17	0	0
Mannheimia haemolytica	11	863	47	1559	10	0	5	0	25	0	20	0	50	5	6	0
Mannheimia varigena	2	70	0	0	1	0	0	2	0	0	0	1	0	0	0	0
Mannheimia granulomatis	1	704	10	0	0	0	2	0	1	0	1	0	0	0	3	1
Histophilus somni	6	153	10	6	3	0	3	1	6	0	1	0	1	2	3	0
